"code_ID";"dx_name";"code_ICD10";"chapter";"chapter_name";"URL"
116;"Dissociative Identity Disorder";"F44.81";8;"Dissociative Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm08"
127;"Other Specified Dissociative Disorder";"F44.89";8;"Dissociative Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm08"
131;"Unspecified Dissociative Disorder";"F44.9";8;"Dissociative Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm08"
138;"Personality Change Due to Another Medical Condition";"F07.0";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
140;"Schizotypal Personality Disorder";"F21";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
142;"Paranoid Personality Disorder";"F60.0";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
144;"Schizoid Personality Disorder";"F60.1";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
146;"Antisocial Personality Disorder";"F60.2";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
148;"Depersonalization/Derealization Disorder";"F48.1";8;"Dissociative Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm08"
164;"Conversion Disorder (Functional Neurological Symptom Disorder) with weakness or paralysis/abnormal movement/swallowing symptoms/speech symptom";"F44.4";9;"Somatic Symptom and Related Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm09"
165;"Conversion Disorder (Functional Neurological Symptom Disorder) with attacks or seizures";"F44.5";9;"Somatic Symptom and Related Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm09"
166;"Conversion Disorder (Functional Neurological Symptom Disorder)  with anesthesia or sensory loss/special sensory symptom";"F44.6";9;"Somatic Symptom and Related Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm09"
176;"Somatic Symptom Disorder";"F45.1";9;"Somatic Symptom and Related Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm09"
184;"Illness anxiety disorder";"F45.21";9;"Somatic Symptom and Related Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm09"
192;"Other Specified Somatic Symptom and Related Disorder";"F45.8";9;"Somatic Symptom and Related Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm09"
200;"(Mild)Intellectual Disability";"F70";6;"Neurodevelopmental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm01"
205;"(Moderate)Intellectual Disability";"F71";1;"Neurodevelopmental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm01"
207;"(Severe)Intellectual Disability";"F72";1;"Neurodevelopmental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm01"
209;"(Profound)Intellectual Disability";"F73";1;"Neurodevelopmental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm01"
227;"Borderline Personality Disorder";"F60.3";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
229;"Histronic Personality Disorder";"F60.4";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
231;"Obsessive-Compulsive Personality Disorder";"F60.5";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
233;"Avoidant Personality Disorder";"F60.6";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
235;"Dependent Personality Disorder";"F60.7";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
237;"Narcissistic Personality Disorder";"F60.81";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
239;"Other Specified Personality Disorder";"F60.89";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
241;"Unspecified Personality Disorder";"F60.9";18;"Personality Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm18"
243;"Fetishism";"F65.0";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
245;"Transvestic Disorder";"F65.1";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
247;"Exhibitionistic Disorder";"F65.2";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
249;"Voyeurism";"F65.3";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
251;"Pedophilia";"F65.4";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
253;"Sexual Masochism Disorder";"F65.51";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
255;"Sexual Sadism Disorder";"F65.52";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
257;"Frotteuristic Disorder";"F65.81";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
259;"Other Specified Paraphilic Disorder";"F65.89";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
261;"Unspecified Paraphilic Disorder";"F65.9";19;"Paraphilic Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm19"
263;"Other Specified Mental Disorder Due to Another Medical Condition";"F06.8";20;"Other Mental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm20"
265;"Unspecified Mental Disorder Due to Another Medical Condition";"F09";20;"Other Mental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm20"
267;"Other Specified Mental Disorder";"F99_other";20;"Other Mental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm20"
269;"Unspecified Mental Disorder";"F99_unspecified";20;"Other Mental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm20"
274;"Moderate Stimulant Use Disorder (Amphetamine-type substance)";"F15.20_amphetamine";16;"Substance-Related and Addictive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm16"
276;"Moderate Stimulant Use Disorder (Other or unspecified stimulant)";"F15.20_otherUnspecified";16;"Substance-Related and Addictive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm16"
278;"Sedative, Hypnotic, or Anxiolytic Use Disorder";"F13.20";16;"Substance-Related and Addictive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm16"
280;"Phencyclidine Use Disorder";"F16.20_PhencyclidineUse";16;"Substance-Related and Addictive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm16"
282;"Other Hallucinogen Use Disorder";"F16.20_HallucinogenUse";16;"Substance-Related and Addictive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm16"
284;"Inhalant Use Disorder";"F18.20";16;"Substance-Related and Addictive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm16"
286;"Other (or Unknown) Substance Use Disorder";"F19.20";16;"Substance-Related and Addictive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm16"
288;"Mild Delirium, with use disorder (alcohol)";"F10.121";17;"Neurocognitive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm17"
290;"Mild Delirium, with use disorder (cannabis)";"F12.121";17;"Neurocognitive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm17"
292;"Mild Delirium, with use disorder (other hallucinogen)";"F16.121_OtherHallucinogen";17;"Neurocognitive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm17"
294;"Mild Delirium, with use disorder (phencyclidine)";"F16.121_Phencyclidine";17;"Neurocognitive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm17"
296;"Mild Delirium, with use disorder (inhalant)";"F18.121";17;"Neurocognitive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm17"
298;"Mild Delirium, with use disorder (opioid)";"F11.121";17;"Neurocognitive Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm17"
345;"Unspecified Intellectual Disability (Intellectual Developmental Disorder)";"F79";1;"Neurodevelopmental Disorders";"https://dsm.psychiatryonline.org/doi/10.1176/appi.books.9780890425596.dsm01"
